x,y,Room
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
5e-06,5e-06,0
5e-06,5e-06,0
5e-06,5e-06,0
1.023777557,1.023777532,0
3.192527309,1.7903082190000001,0
2.5e-06,3.698454617,0
3.4527627549999997,1.696865155,0
3.452764071,1.696870423,0
3.452763602,1.6968685449999998,0
4.09573246,4.09573246,0
4.09573246,4.09573246,0
4.09573246,4.09573246,0
4.09577754,4.09577754,0
4.09577754,4.09577754,0
4.09577754,4.09577754,0
4.09577754,4.09577754,0
2.5e-06,6.94310839,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
1.2782270900000001,1.701663201,0
1.2782393060000001,1.701658618,0
1.70166119,1.278232469,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
1.02373246,1.023732451,0
1.023732458,1.023732453,0
1.0237324620000001,1.023732449,0
6.868335150999999,2.5e-06,0
4.09577754,4.09577754,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
2.047777542,2.047777542,0
2.5e-06,3.409214853,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.255732447,0.255732432,0
0.043356584000000004,0.299038342,0
1.9867546040000001,0.0035881019999999997,0
0.000371781,1.9867628,0
3.448539266,2.415187966,0
2.4151996600000003,3.448536199,0
2.415193813,3.448537733,0
4.769068443,2.5e-06,0
2.5e-06,4.769073443,0
4.09577754,4.09577754,0
4.09577754,4.09577754,0
4.09577754,4.09577754,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
0.127755,0.127755,0
6.0,5.0,1
7.0,3.0,1
5.0,3.0,1
6.0,5.0,1
5.0,8.0,1
8.0,8.0,1
7.0,4.0,1
7.0,4.0,1
5.0,7.0,1
6.0,6.0,1
8.0,4.0,1
6.0,4.0,1
7.0,8.0,1
7.0,8.0,1
7.0,7.0,1
8.0,4.0,1
5.0,6.0,1
8.0,6.0,1
5.0,8.0,1
8.0,4.0,1
6.0,7.0,1
7.0,3.0,1
8.0,6.0,1
5.0,6.0,1
7.0,4.0,1
5.0,6.0,1
8.0,5.0,1
6.0,5.0,1
6.0,5.0,1
8.0,5.0,1
7.0,6.0,1
7.0,7.0,1
7.0,3.0,1
6.0,8.0,1
7.0,8.0,1
5.0,3.0,1
6.0,6.0,1
6.0,6.0,1
5.0,5.0,1
7.0,6.0,1
7.0,3.0,1
7.0,3.0,1
7.0,5.0,1
6.0,6.0,1
7.0,7.0,1
5.0,3.0,1
7.0,3.0,1
8.0,8.0,1
5.0,8.0,1
6.0,8.0,1
5.0,7.0,1
7.0,8.0,1
6.0,6.0,1
8.0,8.0,1
7.0,6.0,1
5.0,5.0,1
5.0,3.0,1
6.0,7.0,1
5.0,8.0,1
8.0,3.0,1
8.0,5.0,1
8.0,8.0,1
5.0,3.0,1
5.0,7.0,1
6.0,8.0,1
5.0,5.0,1
8.0,7.0,1
8.0,3.0,1
6.0,4.0,1
5.0,3.0,1
8.0,6.0,1
7.0,8.0,1
5.0,7.0,1
5.0,7.0,1
7.0,6.0,1
8.0,4.0,1
8.0,8.0,1
6.0,6.0,1
8.0,3.0,1
8.0,5.0,1
5.0,3.0,1
5.0,3.0,1
8.0,5.0,1
8.0,7.0,1
8.0,3.0,1
6.0,8.0,1
8.0,6.0,1
5.0,3.0,1
5.0,8.0,1
7.0,3.0,1
5.0,4.0,1
8.0,7.0,1
6.0,6.0,1
5.0,8.0,1
7.0,7.0,1
6.0,8.0,1
6.0,8.0,1
8.0,7.0,1
8.0,7.0,1
6.0,5.0,1
5.0,8.0,1
6.0,6.0,1
6.0,3.0,1
6.0,6.0,1
5.0,6.0,1
8.0,5.0,1
5.0,3.0,1
8.0,5.0,1
6.0,7.0,1
8.0,3.0,1
6.0,5.0,1
8.0,6.0,1
6.0,8.0,1
6.0,3.0,1
6.0,3.0,1
5.0,5.0,1
6.0,5.0,1
6.0,5.0,1
6.0,7.0,1
5.0,5.0,1
7.0,3.0,1
7.0,8.0,1
5.0,8.0,1
7.0,3.0,1
8.0,7.0,1
7.0,5.0,1
7.0,8.0,1
5.0,5.0,1
6.0,4.0,1
7.0,4.0,1
6.0,4.0,1
8.0,5.0,1
5.0,6.0,1
7.0,7.0,1
6.0,6.0,1
8.0,8.0,1
5.0,4.0,1
5.0,4.0,1
6.0,6.0,1
6.0,3.0,1
7.0,5.0,1
8.0,6.0,1
7.0,3.0,1
6.0,4.0,1
6.0,6.0,1
8.0,6.0,1
6.0,6.0,1
6.0,8.0,1
5.0,8.0,1
6.0,4.0,1
6.0,3.0,1
6.0,5.0,1
8.0,4.0,1
6.0,7.0,1
6.0,4.0,1
6.0,4.0,1
8.0,7.0,1
7.0,5.0,1
5.0,3.0,1
7.0,8.0,1
5.0,5.0,1
8.0,8.0,1
5.0,8.0,1
8.0,4.0,1
6.0,3.0,1
8.0,6.0,1
8.0,3.0,1
6.0,4.0,1
5.0,6.0,1
7.0,7.0,1
7.0,6.0,1
8.0,5.0,1
6.0,6.0,1
7.0,3.0,1
5.0,6.0,1
7.0,8.0,1
5.0,5.0,1
8.0,5.0,1
5.0,6.0,1
5.0,5.0,1
5.0,7.0,1
5.0,6.0,1
5.0,8.0,1
5.0,3.0,1
6.0,4.0,1
8.0,7.0,1
8.0,3.0,1
7.0,7.0,1
5.0,8.0,1
7.0,4.0,1
6.0,3.0,1
8.0,6.0,1
7.0,7.0,1
8.0,3.0,1
5.0,3.0,1
5.0,7.0,1
6.0,8.0,1
8.0,8.0,1
6.0,6.0,1
5.0,5.0,1
6.0,4.0,1
7.0,7.0,1
5.0,4.0,1
8.0,7.0,1
5.0,3.0,1
5.0,4.0,1
5.0,8.0,1
5.0,4.0,1
6.0,8.0,1
5.0,6.0,1
6.0,8.0,1
7.0,4.0,1
8.0,8.0,1
5.0,5.0,1
7.0,7.0,1
5.0,6.0,1
7.0,6.0,1
7.0,6.0,1
7.0,5.0,1
5.0,7.0,1
8.0,5.0,1
6.0,5.0,1
8.0,3.0,1
6.0,7.0,1
6.0,8.0,1
6.0,5.0,1
7.0,6.0,1
7.0,7.0,1
7.0,4.0,1
5.0,8.0,1
5.0,4.0,1
6.0,5.0,1
8.0,5.0,1
7.0,7.0,1
5.0,3.0,1
6.0,4.0,1
7.0,8.0,1
8.0,6.0,1
8.0,6.0,1
6.0,3.0,1
6.0,5.0,1
5.0,4.0,1
6.0,8.0,1
8.0,5.0,1
6.0,3.0,1
7.0,4.0,1
8.0,5.0,1
5.0,6.0,1
7.0,4.0,1
7.0,3.0,1
5.0,6.0,1
7.0,3.0,1
7.0,7.0,1
6.0,7.0,1
8.0,6.0,1
5.0,8.0,1
5.0,5.0,1
6.0,6.0,1
8.0,8.0,1
6.0,4.0,1
7.0,4.0,1
5.0,7.0,1
7.0,8.0,1
8.0,5.0,1
6.0,6.0,1
8.0,8.0,1
5.0,4.0,1
5.0,7.0,1
5.0,8.0,1
5.0,7.0,1
8.0,3.0,1
6.0,5.0,1
5.0,6.0,1
8.0,4.0,1
7.0,6.0,1
8.0,7.0,1
8.0,5.0,1
7.0,7.0,1
7.0,7.0,1
8.0,3.0,1
7.0,7.0,1
5.0,7.0,1
5.0,8.0,1
8.0,4.0,1
5.0,4.0,1
8.0,5.0,1
6.0,3.0,1
7.0,4.0,1
7.0,8.0,1
7.0,7.0,1
6.0,8.0,1
6.0,3.0,1
7.0,7.0,1
8.0,5.0,1
7.0,8.0,1
5.0,4.0,1
8.0,3.0,1
8.0,5.0,1
7.0,8.0,1
7.0,4.0,1
6.0,4.0,1
6.0,8.0,1
6.0,7.0,1
6.0,8.0,1
7.0,7.0,1
6.0,4.0,1
6.0,3.0,1
5.0,8.0,1
5.0,6.0,1
8.0,4.0,1
7.0,5.0,1
7.0,8.0,1
7.0,8.0,1
6.0,7.0,1
7.0,4.0,1
6.0,4.0,1
5.0,3.0,1
8.0,8.0,1
8.0,3.0,1
7.0,3.0,1
6.0,5.0,1
7.0,3.0,1
5.0,4.0,1
5.0,8.0,1
6.0,5.0,1
7.0,5.0,1
5.0,7.0,1
5.0,4.0,1
7.0,5.0,1
8.0,6.0,1
7.0,4.0,1
6.0,3.0,1
7.0,3.0,1
6.0,3.0,1
7.0,6.0,1
5.0,7.0,1
6.0,3.0,1
6.0,8.0,1
8.0,4.0,1
5.0,3.0,1
6.0,3.0,1
7.0,5.0,1
